1, 25000, 500, 0.0, 0.974, 0.881, 0.533, 0.523
1, 25000, 500, 0.1, 0.977, 0.889, 0.65, 0.656
1, 25000, 500, 0.2, 0.975, 0.829, 0.464, 0.511
1, 25000, 500, 0.3, 0.977, 0.901, 0.793, 0.579
1, 25000, 500, 0.4, 0.971, 0.936, 1.03, 0.891
1, 25000, 500, 0.5, 0.956, 0.859, 0.634, 0.626
1, 25000, 500, 0.6, 0.956, 0.884, 0.624, 0.601
1, 25000, 500, 0.7, 0.955, 0.878, 0.589, 0.53
1, 25000, 500, 0.8, 0.965, 0.916, 0.646, 0.778
1, 25000, 500, 0.9, 0.972, 0.906, 0.621, 0.598
1, 25000, 500, 1.0, 0.981, 0.913, 0.621, 0.624
2, 25000, 500, 0.0, 0.984, 1.27, 0.724, 0.787
2, 25000, 500, 0.1, 0.954, 1.36, 0.802, 0.846
2, 25000, 500, 0.2, 0.99, 1.39, 0.766, 0.835
2, 25000, 500, 0.3, 0.961, 1.53, 1.04, 1.14
2, 25000, 500, 0.4, 0.966, 1.44, 0.946, 0.867
2, 25000, 500, 0.5, 0.947, 1.48, 1.24, 1.24
2, 25000, 500, 0.6, 0.957, 1.45, 0.874, 0.965
2, 25000, 500, 0.7, 0.946, 1.54, 1.0, 0.888
2, 25000, 500, 0.8, 0.953, 1.54, 1.18, 1.15
2, 25000, 500, 0.9, 0.936, 1.65, 1.32, 1.22
2, 25000, 500, 1.0, 0.907, 1.55, 1.31, 1.27
4, 25000, 500, 0.0, 0.962, 1.74, 0.893, 0.896
4, 25000, 500, 0.1, 0.963, 1.61, 0.814, 0.815
4, 25000, 500, 0.2, 0.937, 1.67, 0.848, 0.85
4, 25000, 500, 0.3, 0.958, 1.64, 0.86, 0.862
4, 25000, 500, 0.4, 0.963, 2.05, 1.11, 1.12
4, 25000, 500, 0.5, 0.962, 2.03, 1.12, 1.19
4, 25000, 500, 0.6, 0.941, 2.26, 1.26, 1.26
4, 25000, 500, 0.7, 0.947, 2.51, 1.53, 1.49
4, 25000, 500, 0.8, 0.972, 2.78, 2.02, 2.05
4, 25000, 500, 0.9, 0.978, 3.08, 2.31, 2.35
4, 25000, 500, 1.0, 0.964, 3.04, 2.47, 2.58
1, 50000, 100, 0.0, 0.973, 0.937, 0.651, 0.651
1, 50000, 100, 0.1, 0.973, 0.933, 0.649, 0.648
1, 50000, 100, 0.2, 0.974, 0.935, 0.655, 0.657
1, 50000, 100, 0.3, 0.987, 0.943, 0.663, 0.662
1, 50000, 100, 0.4, 0.988, 0.951, 0.672, 0.677
1, 50000, 100, 0.5, 0.978, 0.93, 0.654, 0.656
1, 50000, 100, 0.6, 0.968, 0.934, 0.669, 0.677
1, 50000, 100, 0.7, 0.96, 0.925, 0.708, 0.71
1, 50000, 100, 0.8, 0.959, 0.948, 0.756, 0.756
1, 50000, 100, 0.9, 0.963, 0.921, 0.766, 0.757
1, 50000, 100, 1.0, 0.963, 0.975, 0.688, 0.684
2, 50000, 100, 0.0, 0.95, 1.63, 0.961, 0.979
2, 50000, 100, 0.1, 0.959, 1.61, 0.975, 0.972
2, 50000, 100, 0.2, 0.969, 1.68, 1.04, 1.05
2, 50000, 100, 0.3, 0.964, 1.66, 1.06, 1.08
2, 50000, 100, 0.4, 0.967, 1.69, 1.14, 1.14
2, 50000, 100, 0.5, 0.963, 1.59, 1.08, 1.08
2, 50000, 100, 0.6, 0.96, 1.72, 1.2, 1.19
